idAsset,name,initials,institutionName,institutionInitials,city,state,hasSharing,about
28098,Bancos Ativos de Germoplasma Vegetal da Embrapa Recursos Genéticos e Biotecnologia - Arachis e Feijão-Fava,BAG Arachis/Feijão-f,Empresa Brasileira de Pesquisa Agropecuária,EMBRAPA,Brasília,DF,False,"Os BAGs de Arachis/Feijão-fava possuem infraestrutura de conservação, enriquecimento, caracterização e intercâmbio de germoplasma do feijão-fava e de parentes silvestres do amendoim. Os acessos vêm sendo amostrados desde 1980, em várias unidades da federação, em diferentes biomas brasileiros, constituindo um acervo com variabilidade genética disponível para pesquisa. Pela predominância da origem brasileira das espécies silvestres de Arachis, o BAG em pauta é o mais rico em diversidade no mundo."
13602,Barco de Pesquisa Alpha Delphini,B/Pq.AlphaDelphini,Instituto Oceanográfico da Universidade de São Paulo,IOUSP,São Paulo,SP,False,"Barco de pesquisa oceanográfico pertencente ao Instituto Oceanográfico da Universidade de São Paulo. Possui 25,92 metros de comprimento e 7,15 metros de largura, opera com 6 tripulantes e 24 pesquisadores no máximo. Tem autonomia de até 15 dias."
1572,Barco escola aprendendo com o mar,BE,Instituto Federal de Santa Catarina,IFSC,Itajaí,SC,False,"Barco oceânico tipo catamarã em fibra de vidro,  com  comprimento total de 12m, boca 6,5m e calado 0,60m. Esta embarcação é um verdadeiro laboratório e sala de aula flutuante, com capacidade para transporta até 30 pessoas. Autonomia de 7 dias de mar. Possui camarotes, banheiros, sala de navegação, cozinha, salas de máquinas, depósitos e amplo convés. Além de modernos equipamento de navegação possui diversos guichos utilizados para captura de organismos marinhos, sedimento de fundo e amostras ..."
16110,Base Avançada de Pesquisa do Pantanal,BAPP,Universidade Federal de Mato Grosso,UFMT,Poconé,MT,False,"A Base Avançada de Pesquisa do Pantanal é um ambiente institucional administrado e apoiado logisticamente pela Pró-Reitoria de Pesquisa da UFMT para utilização em pesquisas científicas relacionadas ao bioma Pantanal e, havendo disponibilidade de datas, também para atividades de ensino de graduação e pós-graduação da UFMT relacionadas. Maiores informações sobre a BAPP estão disponíveis no endereço ufmt.br/propeq (aba ""Base Avançada de Pesquisa do Pantanal"")."
29124,Base de Pesquisa em Métodos Estatísticos,BME,Universidade Federal do Rio Grande do Norte,UFRN,Natal,RN,False,"A Base de Pesquisa em Métodos Estatísticos (BME) foi criada em 2004, após uma política de capacitação do corpo docente do Departamento de Estatística da UFRN, com a finalidade de promover um ambiente de integração entre pesquisadores com interesses voltados ao desenvolvimento de métodos estatísticos. Atualmente, seu principal objetivo é desenvolver métodos estatísticos visando alcançar bons níveis de produção científica e melhoria do nível do curso de graduação em Estatística."
14501,Basic Research and Advanced Investigations in Neurosciences,BRAIN,Universidade Federal do Rio Grande do Sul,UFRGS,Porto Alegre,RS,False,Laboratório de pesquisa básica em genética e biologia molecular. Doenças raras (erros inatos do metabolismo).
34035,Bertha Lutz,Anatozoo,Instituto Federal de Brasília,IFB,Planaltina,DF,True,"Laboratório onde acontece atividades de ensino, pesquisa e desenvolvimento na área de anatomia e zoologia. Atende a todos os cursos do Campus Planaltina com peças anatômicas de origem animal e futuramente humanas."
35794,Biblioteca Central da UFRGS,BC,Universidade Federal do Rio Grande do Sul,UFRGS,Porto Alegre,RS,False,"A Biblioteca Central da UFRGS oferece coleções e serviços de informação e apoio acadêmico à comunidade universitária. Atua como órgão coordenador técnico do Sistema de Bibliotecas da UFRGS, composto por 31 bibliotecas. É uma estrutura multiusuária de apoio à pesquisa, que atende de forma ampla e transversal estudantes, docentes e pesquisadores, com foco na informação, na cultura e no conhecimento, além de apoiar a produção e a comunicação científica na Universidade."
31272,Biblioteca da Faculdade de Arquitetura da Universidade Federal da Bahia,BIB/FAUFBA,Universidade Federal da Bahia,UFBA,Salvador,BA,False,"A Biblioteca da Faculdade de Arquitetura da Universidade Federal da Bahia (BIB/FAUFBA) foi criada em 2 de outubro de 1960, quando a Faculdade completava seu primeiro ano de emancipação.

Instalada na Faculdade de Arquitetura, a Biblioteca tem como missão promover e disseminar o acesso e uso da informação, apoiando as atividades de Ensino, Pesquisa e Extensão da comunidade universitária e público externo."
31352,Biblioteca da Faculdade de Direito do Recife,BIBFDR,Universidade Federal de Pernambuco,UFPE,Recife,PE,False,"A Biblioteca da Faculdade de Direito do Recife é um setor especializado na área jurídica que dá suporte as atividades de ensino, pesquisa e extensão universitária. Além disso, a Biblioteca dispõe de um acervo histórico e humanista com uma variedade de tipologias documentais que atende pesquisadores do Brasil e do exterior a procura de informações sobre a história do Direito, do ensino universitário, além de informações sobre personalidades jurídicas, políticas, culturais e históricas."
